,name,link,min_salary,max_salary,currency,employer,site_name
61,Аналитик,https://hh.ru/vacancy/50888227?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,65000,65000,руб.,ООО БОЛЬШАЯ ТРОЙКА,hh.ru
62,Младший системный аналитик/Junior systems analyst,https://hh.ru/vacancy/51197816?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,100000,100000,руб.,Департамент персонала,hh.ru
63,Analyst,https://hh.ru/vacancy/51353784?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,руб.,ООО Бонанза Криип,hh.ru
64,Ведущий аналитик (специалист),https://hh.ru/vacancy/51420283?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,110000,110000,руб.,Ассоциация Банков России,hh.ru
65,Аналитик/Разработчик SQL,https://hh.ru/vacancy/50175372?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,150000,150000,руб.,Платформа ОФД,hh.ru
66,Аналитик данных,https://hh.ru/vacancy/48277000?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,150000,150000,руб.,Bip.ru,hh.ru
67,Web-аналитик,https://hh.ru/vacancy/51613952?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,100000,100000,руб.,EMKA,hh.ru
68,Старший аналитик данных и отчетности,https://hh.ru/vacancy/51790376?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,160000,160000,руб.,12Storeez,hh.ru
69,Молодший аналітик баз даних,https://hh.ru/vacancy/51623156?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,25000,25000,грн.,Roshen Центральный офис,hh.ru
70,Lead BI Аналитик / Ведущий Аналитик Данных (удаленно),https://hh.ru/vacancy/50914149?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,150000,150000,руб.,Broniboy,hh.ru
71,BI Analyst,https://hh.ru/vacancy/51700507?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,руб.,Codex Optimus,hh.ru
72,Аналитик данных,https://hh.ru/vacancy/49875311?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,150000,150000,руб.,Метр Квадратный,hh.ru
73,Ведущий специалист (аналитик),https://hh.ru/vacancy/51761216?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,45000,45000,руб.,ГАУДПО УРАЛЬСКИЙ ИНСТИТУТ УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЕМ ИМ.А.Б.БЛОХИНА,hh.ru
74,Бизнес-аналитик,https://hh.ru/vacancy/51599473?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,руб.,ООО МАГ Девелопмент,hh.ru
75,Специалист по разметке данных (Data Analyst Perception),https://hh.ru/vacancy/51696569?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,SberAutoTech,hh.ru
76,Продуктовый аналитик ​,https://hh.ru/vacancy/50587214?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,175000,175000,руб.,Browsec,hh.ru
77,Социолог / Аналитик,https://hh.ru/vacancy/51789707?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,45000,45000,руб.,ВЦИОМ,hh.ru
78,Аналитик С (удаленно),https://hh.ru/vacancy/51718272?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,120000,120000,руб.,ООО КОРС,hh.ru
79,Специалист по обработке данных,https://hh.ru/vacancy/51850864?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,руб.,РОСЭЛ,hh.ru
